id,等级,升级所需经验,兑换转生值,兑换声望值,最大血量（战士）,最大魔力（战士）,最小物攻（战士）,最大物攻（战士）,最小法攻（战士）,最大法攻（战士）,最小道攻（战士）,最大道攻（战士）,最小物防（战士）,最大物防（战士）,最小法防（战士）,最大法防（战士）,准确值（战士）,闪避值（战士）,最大血量（法师）,最大魔力（法师）,最小物攻（法师）,最大物攻（法师）,最小法攻（法师）,最大法攻（法师）,最小道攻（法师）,最大道攻（法师）,最小物防（法师）,最大物防（法师）,最小法防（法师）,最大法防（法师）,准确值（法师）,闪避值（法师）,最大血量（道士）,最大魔力（道士）,最小物攻（道士）,最大物攻（道士）,最小法攻（道士）,最大法攻（道士）,最小道攻（道士）,最大道攻（道士）,最小物防（道士）,最大物防（道士）,最小法防（道士）,最大法防（道士）,准确值（道士）,闪避值（道士）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int,int,long,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,1,50,0,0,194,68,2,4,1,2,1,2,6,13,6,13,15,10,68,240,1,2,1,3,1,2,4,9,6,14,15,10,107,123,1,2,1,2,1,3,4,10,5,12,15,10
2,2,150,0,0,389,103,3,6,1,3,1,3,9,20,9,20,15,10,136,361,1,3,2,4,1,3,6,15,9,22,15,10,214,185,1,3,1,3,2,5,7,16,8,19,15,10
3,3,247,0,0,584,137,4,8,2,4,2,4,12,26,12,26,15,10,204,481,2,4,3,6,2,4,9,19,13,28,15,10,321,247,2,4,2,4,3,6,9,20,11,24,15,10
4,4,449,0,0,779,172,5,10,2,5,2,5,16,33,16,33,15,10,272,602,2,5,4,8,2,5,12,24,17,36,15,10,428,309,2,5,2,5,4,8,12,26,15,31,15,10
5,5,704,0,0,974,206,6,13,3,6,3,6,19,40,19,40,15,10,341,722,3,6,4,10,3,6,14,30,20,44,15,10,535,371,3,6,3,6,5,11,15,32,18,38,15,10
6,6,1107,0,0,1169,240,7,15,3,7,3,7,22,46,22,46,15,10,409,843,3,7,5,12,3,7,16,34,24,50,15,10,643,433,3,7,3,7,5,12,17,36,20,43,15,10
7,7,1303,0,0,1364,275,8,17,4,8,4,8,25,53,25,53,15,10,477,963,4,8,6,13,4,8,18,39,27,58,15,10,750,495,4,8,4,8,6,14,20,42,23,50,15,10
8,8,1890,0,0,1558,309,9,19,4,9,4,9,28,60,28,60,15,10,545,1084,4,9,7,15,4,9,21,45,30,66,15,10,857,557,4,9,4,9,7,16,22,48,26,57,15,10
9,9,2289,0,0,1753,344,10,21,5,10,5,10,32,66,32,66,15,10,613,1204,5,10,8,16,5,10,24,49,35,72,15,10,964,619,5,10,5,10,8,17,25,52,30,62,15,10
10,10,6586,0,0,1948,378,11,24,5,12,5,12,35,73,35,73,15,10,682,1325,5,12,8,19,5,12,26,54,38,80,15,10,1071,681,5,12,5,12,9,20,28,58,33,69,15,10
11,11,8219,0,0,2143,413,12,26,6,13,6,13,38,80,38,80,15,10,750,1445,6,13,9,20,6,13,28,60,41,88,15,10,1178,743,6,13,6,13,10,22,30,64,36,76,15,10
12,12,9833,0,0,2338,447,13,28,6,14,6,14,41,86,41,86,15,10,818,1566,6,14,10,22,6,14,30,64,45,94,15,10,1286,805,6,14,6,14,11,23,32,68,38,81,15,10
13,13,11976,0,0,2533,481,14,30,7,15,7,15,44,93,44,93,15,10,886,1686,7,15,11,24,7,15,33,69,48,102,15,10,1393,867,7,15,7,15,11,25,35,74,41,88,15,10
14,14,13458,0,0,2728,516,15,32,7,16,7,16,48,100,48,100,15,10,954,1807,7,16,12,25,7,16,36,75,52,110,15,10,1500,929,7,16,7,16,12,27,38,80,45,95,15,10
15,15,15780,0,0,2923,550,16,35,8,17,8,17,51,106,51,106,15,10,1023,1927,8,17,12,28,8,17,38,79,56,116,15,10,1607,991,8,17,8,17,13,29,40,84,48,100,15,10
16,16,18372,0,0,3117,585,17,37,8,18,8,18,54,113,54,113,15,10,1091,2048,8,18,13,29,8,18,40,84,59,124,15,10,1714,1053,8,18,8,18,14,31,43,90,51,107,15,10
17,17,20883,0,0,3312,619,18,39,9,19,9,19,57,120,57,120,15,10,1159,2168,9,19,14,31,9,19,42,90,62,132,15,10,1822,1115,9,19,9,19,15,33,45,96,54,114,15,10
18,18,24032,0,0,3507,654,19,41,9,20,9,20,60,126,60,126,15,10,1227,2289,9,20,15,32,9,20,45,94,66,138,15,10,1929,1177,9,20,9,20,16,34,48,100,57,119,15,10
19,19,27084,0,0,3702,688,21,43,10,21,10,21,64,133,64,133,15,10,1295,2409,10,21,16,34,10,21,48,99,70,146,15,10,2036,1239,10,21,10,21,17,36,51,106,60,126,15,10
20,20,36500,0,0,3897,722,22,46,11,23,11,23,67,140,67,140,15,10,1364,2530,11,23,17,36,11,23,50,105,73,154,15,10,2143,1301,11,23,11,23,18,39,53,112,63,133,15,10
21,21,40323,0,0,4092,757,23,48,11,24,11,24,70,146,70,146,15,10,1432,2650,11,24,18,38,11,24,52,109,77,160,15,10,2250,1363,11,24,11,24,19,40,56,116,66,138,15,10
22,22,45115,0,0,4287,791,24,50,12,25,12,25,73,153,73,153,15,10,1500,2771,12,25,19,40,12,25,54,114,80,168,15,10,2357,1425,12,25,12,25,20,42,58,122,69,145,15,10
23,23,50992,0,0,4482,826,25,52,12,26,12,26,76,160,76,160,15,10,1568,2891,12,26,20,41,12,26,57,120,83,176,15,10,2465,1487,12,26,12,26,21,44,60,128,72,152,15,10
24,24,55873,0,0,4676,860,26,54,13,27,13,27,80,166,80,166,15,10,1636,3012,13,27,20,43,13,27,60,124,88,182,15,10,2572,1549,13,27,13,27,22,45,64,132,76,157,15,10
25,25,61867,0,0,4871,895,27,56,13,28,13,28,83,173,83,173,15,10,1705,3132,13,28,21,44,13,28,62,129,91,190,15,10,2679,1611,13,28,13,28,22,47,66,138,78,164,15,10
26,26,67497,0,0,5066,929,28,59,14,29,14,29,86,180,86,180,15,10,1773,3253,14,29,22,47,14,29,64,135,94,198,15,10,2786,1673,14,29,14,29,23,50,68,144,81,171,15,10
27,27,73508,0,0,5261,963,29,61,14,30,14,30,89,186,89,186,15,10,1841,3373,14,30,23,48,14,30,66,139,97,204,15,10,2893,1735,14,30,14,30,24,51,71,148,84,176,15,10
28,28,79910,0,0,5456,998,30,63,15,31,15,31,92,193,92,193,15,10,1909,3494,15,31,24,50,15,31,69,144,101,212,15,10,3001,1797,15,31,15,31,25,53,73,154,87,183,15,10
29,29,88467,0,0,5651,1032,31,65,15,32,15,32,96,200,96,200,15,10,1977,3614,15,32,24,52,15,32,72,150,105,220,15,10,3108,1859,15,32,15,32,26,55,76,160,91,190,15,10
30,30,104810,0,0,5846,1067,32,67,16,33,16,33,99,206,99,206,15,10,2046,3735,16,33,25,53,16,33,74,154,108,226,15,10,3215,1921,16,33,16,33,27,56,79,164,94,195,15,10
31,31,115051,0,0,6041,1101,33,70,16,35,16,35,102,213,102,213,15,10,2114,3855,16,35,26,56,16,35,76,159,112,234,15,10,3322,1983,16,35,16,35,28,59,81,170,96,202,15,10
32,32,123495,0,0,6235,1136,34,72,17,36,17,36,105,220,105,220,15,10,2182,3976,17,36,27,57,17,36,78,165,115,242,15,10,3429,2044,17,36,17,36,28,61,84,176,99,209,15,10
33,33,132406,0,0,6430,1170,35,74,17,37,17,37,108,226,108,226,15,10,2250,4096,17,37,28,59,17,37,81,169,118,248,15,10,3536,2106,17,37,17,37,29,62,86,180,102,214,15,10
34,34,144349,0,0,6625,1204,36,76,18,38,18,38,112,233,112,233,15,10,2318,4217,18,38,28,60,18,38,84,174,123,256,15,10,3644,2168,18,38,18,38,30,64,89,186,106,221,15,10
35,35,154286,0,0,6820,1239,37,78,18,39,18,39,115,240,115,240,15,10,2387,4337,18,39,29,62,18,39,86,180,126,264,15,10,3751,2230,18,39,18,39,31,66,92,192,109,228,15,10
36,36,164725,0,0,7015,1273,38,81,19,40,19,40,118,246,118,246,15,10,2455,4458,19,40,30,64,19,40,88,184,129,270,15,10,3858,2292,19,40,19,40,32,68,94,196,112,233,15,10
37,37,178510,0,0,7210,1308,39,83,19,41,19,41,121,253,121,253,15,10,2523,4578,19,41,31,66,19,41,90,189,133,278,15,10,3965,2354,19,41,19,41,33,70,96,202,114,240,15,10
38,38,188591,0,0,7405,1342,41,85,20,42,20,42,124,260,124,260,15,10,2591,4699,20,42,32,68,20,42,93,195,136,286,15,10,4072,2416,20,42,20,42,34,72,99,208,117,247,15,10
39,39,200636,0,0,7600,1377,42,87,21,43,21,43,128,266,128,266,15,10,2660,4819,21,43,33,69,21,43,96,199,140,292,15,10,4180,2478,21,43,21,43,35,73,102,212,121,252,15,10
40,40,210000,0,0,7794,1411,43,89,21,44,21,44,131,273,131,273,15,10,2728,4940,21,44,34,71,21,44,98,204,144,300,15,10,4287,2540,21,44,21,44,36,75,104,218,124,259,15,10
41,41,220000,0,0,7989,1445,44,92,22,46,22,46,134,280,134,280,15,10,2796,5060,22,46,35,73,22,46,100,210,147,308,15,10,4394,2602,22,46,22,46,37,78,107,224,127,266,15,10
42,42,230000,0,0,8379,1480,45,94,22,47,22,47,137,286,137,286,15,10,2932,5181,22,47,36,75,22,47,102,214,150,314,15,10,4608,2664,22,47,22,47,38,79,109,228,130,271,15,10
43,43,240000,0,0,8769,1514,46,96,23,48,23,48,140,293,140,293,15,10,3069,5301,23,48,36,76,23,48,105,219,154,322,15,10,4823,2726,23,48,23,48,39,81,112,234,133,278,15,10
44,44,250000,0,0,9159,1549,47,98,23,49,23,49,144,300,144,300,15,10,3205,5422,23,49,37,78,23,49,108,225,158,330,15,10,5037,2788,23,49,23,49,39,83,115,240,136,285,15,10
45,45,260000,0,0,9548,1583,48,100,24,50,24,50,147,306,147,306,15,10,3342,5542,24,50,38,80,24,50,110,229,161,336,15,10,5251,2850,24,50,24,50,40,85,117,244,139,290,15,10
46,46,270000,0,0,9938,1618,49,102,24,51,24,51,150,313,150,313,15,10,3478,5663,24,51,39,81,24,51,112,234,165,344,15,10,5466,2912,24,51,24,51,41,86,120,250,142,297,15,10
47,47,280000,0,0,10328,1652,50,105,25,52,25,52,153,320,153,320,15,10,3614,5783,25,52,40,84,25,52,114,240,168,352,15,10,5680,2974,25,52,25,52,42,89,122,256,145,304,15,10
48,48,290000,0,0,10718,1686,51,107,25,53,25,53,156,326,156,326,15,10,3751,5904,25,53,40,85,25,53,117,244,171,358,15,10,5894,3036,25,53,25,53,43,90,124,260,148,309,15,10
49,49,300000,0,0,11107,1721,52,109,26,54,26,54,160,333,160,333,15,10,3887,6024,26,54,41,87,26,54,120,249,176,366,15,10,6109,3098,26,54,26,54,44,92,128,266,152,316,15,10
50,50,335415,0,0,11497,1755,53,111,26,55,26,55,163,340,163,340,15,10,4024,6145,26,55,42,88,26,55,122,255,179,374,15,10,6323,3160,26,55,26,55,45,94,130,272,154,323,15,10
51,51,352957,0,0,11887,1790,54,113,27,56,27,56,166,346,166,346,15,10,4160,6265,27,56,43,90,27,56,124,259,182,380,15,10,6538,3222,27,56,27,56,45,96,132,276,157,328,15,10
52,52,375156,0,0,12277,1824,55,116,27,58,27,58,169,353,169,353,15,10,4296,6386,27,58,44,92,27,58,126,264,185,388,15,10,6752,3284,27,58,27,58,46,98,135,282,160,335,15,10
53,53,394322,0,0,12666,1859,56,118,28,59,28,59,172,360,172,360,15,10,4433,6506,28,59,44,94,28,59,129,270,189,396,15,10,6966,3346,28,59,28,59,47,100,137,288,163,342,15,10
54,54,418324,0,0,13056,1893,57,120,28,60,28,60,176,366,176,366,15,10,4569,6627,28,60,45,96,28,60,132,274,193,402,15,10,7181,3408,28,60,28,60,48,102,140,292,167,347,15,10
55,55,610275,0,0,13446,1927,58,122,29,61,29,61,179,373,179,373,15,10,4706,6747,29,61,46,97,29,61,134,279,196,410,15,10,7395,3470,29,61,29,61,49,103,143,298,170,354,15,10
56,56,825076,0,0,13836,1962,59,124,29,62,29,62,182,380,182,380,15,10,4842,6868,29,62,47,99,29,62,136,285,200,418,15,10,7609,3532,29,62,29,62,50,105,145,304,172,361,15,10
57,57,1069024,0,0,14225,1996,60,127,30,63,30,63,185,386,185,386,15,10,4979,6988,30,63,48,101,30,63,138,289,203,424,15,10,7824,3594,30,63,30,63,51,107,148,308,175,366,15,10
58,58,1370596,0,0,14615,2031,62,129,31,64,31,64,188,393,188,393,15,10,5115,7109,31,64,49,103,31,64,141,294,206,432,15,10,8038,3656,31,64,31,64,52,109,150,314,178,373,15,10
59,59,1718881,0,0,15005,2065,63,131,31,65,31,65,192,400,192,400,15,10,5251,7229,31,65,50,104,31,65,144,300,211,440,15,10,8252,3718,31,65,31,65,53,111,153,320,182,380,15,10
60,60,1962083,0,0,15395,2100,64,133,32,66,32,66,195,406,195,406,15,10,5388,7350,32,66,51,106,32,66,146,304,214,446,15,10,8467,3780,32,66,32,66,54,113,156,324,185,385,15,10
61,61,2311242,0,0,15784,2134,65,135,32,67,32,67,198,413,198,413,15,10,5524,7470,32,67,52,108,32,67,148,309,217,454,15,10,8681,3842,32,67,32,67,55,114,158,330,188,392,15,10
62,62,2741266,0,0,16174,2168,66,138,33,69,33,69,201,420,201,420,15,10,5661,7591,33,69,52,110,33,69,150,315,221,462,15,10,8895,3904,33,69,33,69,56,117,160,336,190,399,15,10
63,63,3279581,0,0,16564,2203,67,140,33,70,33,70,204,426,204,426,15,10,5797,7711,33,70,53,112,33,70,153,319,224,468,15,10,9110,3966,33,70,33,70,56,119,163,340,193,404,15,10
64,64,3808641,0,0,16954,2237,68,142,34,71,34,71,208,433,208,433,15,10,5933,7832,34,71,54,113,34,71,156,324,228,476,15,10,9324,4028,34,71,34,71,57,120,166,346,197,411,15,10
65,65,4260552,0,0,17343,2272,69,144,34,72,34,72,211,440,211,440,15,10,6070,7952,34,72,55,115,34,72,158,330,232,484,15,10,9539,4089,34,72,34,72,58,122,168,352,200,418,15,10
