id,名称,叠加上限
,,
int,string,int
20001001,太阳水,20
20001002,强效太阳水,20
20001003,万年雪霜,20
20001004,金疮药(小),20
20001005,金疮药(中),20
20001006,金疮药(大),20
20002001,HP药水,99
20002002,攻击药水,99
20002003,魔力药水,99
20002004,道术药水,99
21000001,10绑元,99
21000002,50绑元,99
21000003,100绑元,20
21000004,500绑元,20
21010001,10元宝,99
21010014,20元宝,99
21010015,40元宝,99
21010002,50元宝,99
21010003,100元宝,99
21010004,500元宝,99
21010006,30元宝,99
21010007,80元宝,99
21010008,120元宝,99
21010009,150元宝,99
21010010,300元宝,99
21010011,400元宝,99
21010012,600元宝,99
21010016,666元宝,99
21010017,888元宝,99
23000001,玉佩碎片（小）,99
23000002,玉佩碎片（中）,99
23000003,玉佩碎片（大）,99
23010001,护盾碎片（小）,99
23010002,护盾碎片（中）,99
23010003,护盾碎片（大）,99
23020001,龙心碎片（小）,99
23020002,龙心碎片（中）,99
23020003,龙心碎片（大）,99
23030001,狼牙碎片（小）,99
23030002,狼牙碎片（中）,99
23030003,狼牙碎片（大）,99
23040001,高级转生丹,99
23040002,超级转生丹,99
23040003,转生丹,99
23050001,声望卷（小）,99
23050002,声望卷（中）,99
23050003,声望卷（大）,99
23060001,金砖（小）,99
23060002,金砖（中）,99
23060003,金砖（大）,99
23070001,绑定元宝兑换券,99
23080001,双倍宝典（1小时）,99
23080002,双倍宝典（2小时）,99
23080003,双倍宝典（4小时）,99
23080004,双倍宝典（8小时）,99
23080005,三倍宝典（1小时）,99
23080006,三倍宝典（2小时）,99
23080007,三倍宝典（4小时）,99
23080008,三倍宝典（8小时）,99
23080009,四倍宝典（1小时）,99
23080010,四倍宝典（2小时）,99
23080011,四倍宝典（4小时）,99
23080012,四倍宝典（8小时）,99
23090001,战神经验丹（小）,99
23090002,战神经验丹（中）,99
23090003,战神经验丹（大）,99
23100001,50W经验丹,99
23100002,100W经验丹,99
23100003,200W经验丹,99
23100004,经验葫芦（小）,99
23100005,经验葫芦（中）,99
23100006,经验葫芦（大）,99
23100007,经验葫芦（超级）,99
24000001,战神进阶丹,99
24010001,攻城号角,99
24020001,黑铁矿石,99
